pave 134 0.842586
pstd 134 0.053982
pave 135 0.851117
pstd 135 0.043734
pave 136 0.846258
pstd 136 0.055486
pave 137 0.848593
pstd 137 0.048751
pave 138 0.851549
pstd 138 0.041376
pave 139 0.851430
pstd 139 0.036806
pave 140 0.843834
pstd 140 0.059328
pave 141 0.845002
pstd 141 0.051472
pave 142 0.836575
pstd 142 0.047047
pave 143 0.842364
pstd 143 0.044924
pave 144 0.857568
pstd 144 0.044281
pave 145 0.845082
pstd 145 0.046926
pave 146 0.853883
pstd 146 0.036956
pave 147 0.844341
pstd 147 0.053847
pave 148 0.839364
pstd 148 0.047296
pave 149 0.843940
pstd 149 0.040796
pave 150 0.845767
pstd 150 0.039376
pave 151 0.835496
pstd 151 0.052733
pave 152 0.848503
pstd 152 0.040184
pave 153 0.848793
pstd 153 0.041806
pave 154 0.832510
pstd 154 0.041072
pave 155 0.845403
pstd 155 0.047525
pave 156 0.837699
pstd 156 0.045722
pave 157 0.842427
pstd 157 0.051827
pave 158 0.844928
pstd 158 0.033469
pave 159 0.836974
pstd 159 0.036789
pave 160 0.834229
pstd 160 0.060089
pave 161 0.829915
pstd 161 0.040889
pave 162 0.835163
pstd 162 0.044902
pave 163 0.847293
pstd 163 0.047348
pave 164 0.835501
pstd 164 0.039943
pave 165 0.839154
pstd 165 0.033534
pave 166 0.831059
pstd 166 0.037725
pave 167 0.831894
pstd 167 0.032504
pave 168 0.831355
pstd 168 0.048344
pave 169 0.836912
pstd 169 0.046913
pave 170 0.833517
pstd 170 0.049042
pave 171 0.835138
pstd 171 0.036314
pave 172 0.841581
pstd 172 0.033996
pave 173 0.836953
pstd 173 0.037793
pave 174 0.839473
pstd 174 0.045908
pave 175 0.835723
pstd 175 0.038576
pave 176 0.835881
pstd 176 0.032149
pave 177 0.844653
pstd 177 0.038066
pave 178 0.833329
pstd 178 0.037609
pave 179 0.836172
pstd 179 0.033929
pave 180 0.838082
pstd 180 0.035676
pave 181 0.838545
pstd 181 0.039923
pave 182 0.842271
pstd 182 0.057137
pave 183 0.837297
pstd 183 0.032238
pave 184 0.843039
pstd 184 0.034360
pave 185 0.839940
pstd 185 0.032132
pave 186 0.837733
pstd 186 0.037483
pave 187 0.841619
pstd 187 0.034621
pave 188 0.838362
pstd 188 0.032121
pave 189 0.834535
pstd 189 0.050360
pave 190 0.830330
pstd 190 0.035472
pave 191 0.831054
pstd 191 0.036139
pave 192 0.837622
pstd 192 0.047240
pave 193 0.840132
pstd 193 0.045033
pave 194 0.837144
pstd 194 0.042010
pave 195 0.845388
pstd 195 0.035850
pave 196 0.830661
pstd 196 0.034817
pave 197 0.835977
pstd 197 0.031718
pave 198 0.833637
pstd 198 0.038513
pave 199 0.838583
pstd 199 0.042320
pave 200 0.839403
pstd 200 0.033596
pave 201 0.831326
pstd 201 0.031124
pave 202 0.840405
pstd 202 0.039464
pave 203 0.836495
pstd 203 0.035688
pave 204 0.846574
pstd 204 0.051683
pave 205 0.838684
pstd 205 0.026541
pave 206 0.836119
pstd 206 0.031954
pave 207 0.834311
pstd 207 0.030510
pave 208 0.832067
pstd 208 0.049935
pave 209 0.827713
pstd 209 0.036795
pave 210 0.830669
pstd 210 0.027456
pave 211 0.831386
pstd 211 0.023468
pave 212 0.838241
pstd 212 0.023644
pave 213 0.833895
pstd 213 0.033589
pave 214 0.830719
pstd 214 0.034581
pave 215 0.842509
pstd 215 0.036756
pave 216 0.829990
pstd 216 0.025010
pave 217 0.836896
pstd 217 0.031228
pave 218 0.825600
pstd 218 0.032996
pave 219 0.839898
pstd 219 0.046852
pave 220 0.831952
pstd 220 0.027993
pave 221 0.836353
pstd 221 0.030017
pave 222 0.838927
pstd 222 0.032413
pave 223 0.839189
pstd 223 0.031755
pave 224 0.832140
pstd 224 0.032621
pave 225 0.832831
pstd 225 0.024379
pave 226 0.839473
pstd 226 0.026856
pave 227 0.830575
pstd 227 0.039972
pave 228 0.834796
pstd 228 0.041695
pave 229 0.826400
pstd 229 0.027998
pave 230 0.844445
pstd 230 0.040291
pave 231 0.828693
pstd 231 0.043672
pave 232 0.816538
pstd 232 0.048991
pave 233 0.833490
pstd 233 0.032955
pave 234 0.828257
pstd 234 0.026576
pave 235 0.816832
pstd 235 0.050935
pave 236 0.827457
pstd 236 0.032228
pave 237 0.834959
pstd 237 0.023087
pave 238 0.829214
pstd 238 0.041747
pave 239 0.827971
pstd 239 0.049090
pave 240 0.832718
pstd 240 0.050367
pave 241 0.834185
pstd 241 0.032167
pave 242 0.827984
pstd 242 0.031599
pave 243 0.826083
pstd 243 0.032960
pave 244 0.824880
pstd 244 0.030036
pave 245 0.830980
pstd 245 0.029307
pave 246 0.832915
pstd 246 0.033030
pave 247 0.835096
pstd 247 0.031188
pave 248 0.827207
pstd 248 0.034912
pave 249 0.829621
pstd 249 0.029480
pave 250 0.814612
pstd 250 0.053665
pave 251 0.830881
pstd 251 0.028718
pave 252 0.827409
pstd 252 0.024851
pave 253 0.830906
pstd 253 0.028997
pave 254 0.837301
pstd 254 0.038722
pave 255 0.830887
pstd 255 0.028027
pave 256 0.825913
pstd 256 0.036017
pave 257 0.823612
pstd 257 0.027614
pave 258 0.825566
pstd 258 0.030888
pave 259 0.823613
pstd 259 0.037511
pave 260 0.827304
pstd 260 0.029892
pave 261 0.832953
pstd 261 0.037168
pave 262 0.835211
pstd 262 0.024390
pave 263 0.825837
pstd 263 0.036426
pave 264 0.832808
pstd 264 0.029344
pave 265 0.826843
pstd 265 0.032956
pave 266 0.829663
pstd 266 0.025213
pave 267 0.834024
pstd 267 0.028056
pave 268 0.841813
pstd 268 0.055746
pave 269 0.830976
pstd 269 0.028167
pave 270 0.830519
pstd 270 0.026515
pave 271 0.832113
pstd 271 0.030923
pave 272 0.826822
pstd 272 0.026163
pave 273 0.823214
pstd 273 0.032778
pave 274 0.823010
pstd 274 0.029609
pave 275 0.832318
pstd 275 0.034221
pave 276 0.823485
pstd 276 0.033664
pave 277 0.824832
pstd 277 0.032221
pave 278 0.837226
pstd 278 0.048641
pave 279 0.838585
pstd 279 0.033526
pave 280 0.830526
pstd 280 0.047615
pave 281 0.825300
pstd 281 0.028887
pave 282 0.832079
pstd 282 0.032065
pave 283 0.834396
pstd 283 0.029754
pave 284 0.831922
pstd 284 0.038299
pave 285 0.820628
pstd 285 0.040320
pave 286 0.826561
pstd 286 0.036903
pave 287 0.833145
pstd 287 0.024474
pave 288 0.834137
pstd 288 0.042925
pave 289 0.826100
pstd 289 0.040955
pave 290 0.837790
pstd 290 0.045638
pave 291 0.825588
pstd 291 0.027973
pave 292 0.830043
pstd 292 0.033274
pave 293 0.828596
pstd 293 0.020685
pave 294 0.824003
pstd 294 0.032164
pave 295 0.822705
pstd 295 0.021209
pave 296 0.829886
pstd 296 0.024612
pave 297 0.827393
pstd 297 0.033206
pave 298 0.832015
pstd 298 0.024333
pave 299 0.828624
pstd 299 0.029171
pave 300 0.824791
pstd 300 0.025272
pave 301 0.817038
pstd 301 0.034134
pave 302 0.822251
pstd 302 0.022313
pave 303 0.828413
pstd 303 0.038808
pave 304 0.833189
pstd 304 0.036549
pave 305 0.828965
pstd 305 0.027992
pave 306 0.852593
pstd 306 0.062279
pave 307 0.838260
pstd 307 0.031107
pave 308 0.831521
pstd 308 0.032104
pave 309 0.830142
pstd 309 0.038184
pave 310 0.830110
pstd 310 0.039438
pave 311 0.820968
pstd 311 0.036830
pave 312 0.832745
pstd 312 0.030151
pave 313 0.821545
pstd 313 0.032192
pave 314 0.825410
pstd 314 0.024917
pave 315 0.827059
pstd 315 0.038764
pave 316 0.827713
pstd 316 0.026439
pave 317 0.830032
pstd 317 0.030981
pave 318 0.820951
pstd 318 0.037004
pave 319 0.823217
pstd 319 0.033065
pave 320 0.831286
pstd 320 0.026320
pave 321 0.822894
pstd 321 0.029050
pave 322 0.825072
pstd 322 0.027152
pave 323 0.828852
pstd 323 0.040090
pave 324 0.816708
pstd 324 0.031955
pave 325 0.831211
pstd 325 0.031069
pave 326 0.823309
pstd 326 0.046452
pave 327 0.830658
pstd 327 0.038291
pave 328 0.824214
pstd 328 0.029039
pave 329 0.826141
pstd 329 0.026050
pave 330 0.819240
pstd 330 0.040353
pave 331 0.820134
pstd 331 0.032441
pave 332 0.826208
pstd 332 0.027047
pave 333 0.824817
pstd 333 0.034231
pave 334 0.827015
pstd 334 0.027416
pave 335 0.828924
pstd 335 0.025321
pave 336 0.823250
pstd 336 0.019926
pave 337 0.814728
pstd 337 0.032981
pave 338 0.812750
pstd 338 0.071355
pave 339 0.828132
pstd 339 0.030016
pave 340 0.822428
pstd 340 0.029606
pave 341 0.823293
pstd 341 0.020498
pave 342 0.828409
pstd 342 0.027784
pave 343 0.823574
pstd 343 0.033746
pave 344 0.817386
pstd 344 0.022736
pave 345 0.819586
pstd 345 0.029087
pave 346 0.831776
pstd 346 0.038937
pave 347 0.828849
pstd 347 0.027144
pave 348 0.827735
pstd 348 0.028008
pave 349 0.823024
pstd 349 0.024888
pave 350 0.829115
pstd 350 0.025196
pave 351 0.827721
pstd 351 0.029937
pave 352 0.822729
pstd 352 0.027500
pave 353 0.820428
pstd 353 0.033366
pave 354 0.821812
pstd 354 0.026134
pave 355 0.832307
pstd 355 0.028026
pave 356 0.827595
pstd 356 0.027570
pave 357 0.830575
pstd 357 0.051570
pave 358 0.826962
pstd 358 0.024166
pave 359 0.822074
pstd 359 0.026045
pave 360 0.823426
pstd 360 0.024708
pave 361 0.821222
pstd 361 0.024161
pave 362 0.827155
pstd 362 0.032802
pave 363 0.824127
pstd 363 0.022740
pave 364 0.824938
pstd 364 0.020264
pave 365 0.823386
pstd 365 0.025225
pave 366 0.826570
pstd 366 0.027740
pave 367 0.824138
pstd 367 0.031864
pave 368 0.821022
pstd 368 0.023586
pave 369 0.830849
pstd 369 0.024918
pave 370 0.816212
pstd 370 0.026992
pave 371 0.818392
pstd 371 0.025468
pave 372 0.828849
pstd 372 0.022555
pave 373 0.823855
pstd 373 0.017087
pave 374 0.834685
pstd 374 0.041412
pave 375 0.826097
pstd 375 0.037459
pave 376 0.821507
pstd 376 0.035657
pave 377 0.825460
pstd 377 0.022631
pave 378 0.821573
pstd 378 0.026631
pave 379 0.827479
pstd 379 0.034560
pave 380 0.824899
pstd 380 0.022845
pave 381 0.826276
pstd 381 0.037342
pave 382 0.825268
pstd 382 0.028485
pave 383 0.829253
pstd 383 0.022175
pave 384 0.822185
pstd 384 0.039947
pave 385 0.824178
pstd 385 0.029078
pave 386 0.821491
pstd 386 0.024185
pave 387 0.819502
pstd 387 0.021409
pave 388 0.826683
pstd 388 0.031270
pave 389 0.825303
pstd 389 0.022021
pave 390 0.815372
pstd 390 0.024959
pave 391 0.826433
pstd 391 0.030743
pave 392 0.823037
pstd 392 0.024246
pave 393 0.822972
pstd 393 0.022424
pave 394 0.824023
pstd 394 0.025657
pave 395 0.815485
pstd 395 0.022077
pave 396 0.814629
pstd 396 0.025090
pave 397 0.822998
pstd 397 0.019497
pave 398 0.817739
pstd 398 0.026716
pave 399 0.822142
pstd 399 0.020454
pave 400 0.823484
pstd 400 0.019136
pave 401 0.817931
pstd 401 0.026959
pave 402 0.815583
pstd 402 0.025285
pave 403 0.817982
pstd 403 0.023422
pave 404 0.818280
pstd 404 0.036199
pave 405 0.820397
pstd 405 0.021421
pave 406 0.822388
pstd 406 0.024004
pave 407 0.819540
pstd 407 0.023150
pave 408 0.818249
pstd 408 0.022818
pave 409 0.821968
pstd 409 0.019000
pave 410 0.822987
pstd 410 0.017952
pave 411 0.819527
pstd 411 0.031198
pave 412 0.824287
pstd 412 0.018082
pave 413 0.820062
pstd 413 0.018958
pave 414 0.819603
pstd 414 0.026201
pave 415 0.819683
pstd 415 0.029005
pave 416 0.817438
pstd 416 0.036782
pave 417 0.822472
pstd 417 0.025797
pave 418 0.823219
pstd 418 0.026568
pave 419 0.819494
pstd 419 0.026542
pave 420 0.814195
pstd 420 0.034616
pave 421 0.822682
pstd 421 0.027597
pave 422 0.815679
pstd 422 0.030722
pave 423 0.822551
pstd 423 0.019939
pave 424 0.821191
pstd 424 0.016285
pave 425 0.819249
pstd 425 0.019048
pave 426 0.816135
pstd 426 0.015649
pave 427 0.822499
pstd 427 0.018891
pave 428 0.814999
pstd 428 0.022180
pave 429 0.822738
pstd 429 0.023265
pave 430 0.819294
pstd 430 0.019813
pave 431 0.822467
pstd 431 0.021449
pave 432 0.812389
pstd 432 0.020707
pave 433 0.817313
pstd 433 0.024983
pave 434 0.817093
pstd 434 0.020947
pave 435 0.821744
pstd 435 0.020800
pave 436 0.819431
pstd 436 0.023493
pave 437 0.820504
pstd 437 0.017706
pave 438 0.818603
pstd 438 0.020284
pave 439 0.817715
pstd 439 0.020859
pave 440 0.813537
pstd 440 0.027384
