1 1.077582 0.508190
2 0.946155 0.379631
3 0.990207 0.287705
4 1.007371 0.374980
5 1.017466 0.270444
6 0.985452 0.435493
7 0.920905 0.271088
8 0.892523 0.152958
9 0.937675 0.203009
10 0.903236 0.160070
11 1.008444 0.202191
12 0.963993 0.135369
13 1.112269 0.511958
14 0.924307 0.360821
15 1.066040 0.788500
16 0.829782 0.234543
17 1.266580 1.148689
18 0.897878 0.355381
19 0.877811 0.220610
20 0.916287 0.189616
21 0.905375 0.283357
22 1.127363 0.613743
23 1.169856 1.518961
24 1.637838 2.029137
25 1.253643 1.375628
26 0.970409 0.876220
27 1.600404 2.473955
28 0.872736 0.210554
29 1.080489 0.778658
30 1.496515 8.687797
31 1.149189 0.861816
32 0.885489 0.108324
33 0.854260 0.133214
34 0.965212 0.221687
35 1.010269 0.367045
36 0.897206 0.156365
37 0.867912 0.122816
38 0.882999 0.092394
39 0.895859 0.105339
40 1.281970 0.677499
41 0.913498 0.191875
42 1.139624 0.661541
43 0.989530 0.238702
44 0.910148 0.103023
45 0.996658 0.280544
46 0.956690 0.156856
47 1.109632 0.426533
48 0.886141 0.151531
49 0.910647 0.124090
50 0.943023 0.142797
51 0.977257 0.158438
52 0.770441 0.251863
53 0.896740 0.102936
54 0.924329 0.154357
55 0.900230 0.117433
56 0.874946 0.122710
57 0.889481 0.102430
58 0.903531 0.100802
59 0.883343 0.084378
60 0.896650 0.086514
61 0.924461 0.116243
62 0.921304 0.088379
63 0.881664 0.099465
64 0.875489 0.072456
65 0.866205 0.070895
66 0.884685 0.073966
67 0.898357 0.085069
68 0.889252 0.068647
69 0.878694 0.077874
70 0.882513 0.078969
71 0.882398 0.071515
72 0.885571 0.083127
73 0.879840 0.065670
74 0.869972 0.059701
75 0.884511 0.082762
76 0.877817 0.059370
77 0.885265 0.097487
78 0.879452 0.068115
79 0.870517 0.074729
80 0.887556 0.083733
81 0.881133 0.065771
82 0.889111 0.057926
83 0.874365 0.065499
84 0.889087 0.067355
85 0.865360 0.060990
86 0.879057 0.083173
87 0.881325 0.063433
88 0.875310 0.050903
89 0.881340 0.074256
90 0.876291 0.060141
91 0.875949 0.064904
92 0.868296 0.055249
93 0.871150 0.053266
94 0.881577 0.061691
95 0.863732 0.050152
96 0.885369 0.071085
